BE,Belgium,80.9,11554767
BG,Bulgaria,73.6,6916548
CZ,Czechia,78.3,10701777
DK,Denmark,81.6,5840045
DE,Germany,81.1,83155031
EE,Estonia,78.6,1330068
IE,Ireland,82.8,5006324
EL,Greece,81.2,10678632
ES,Spain,82.4,47398695
FR,France,82.3,67656682
HR,Croatia,77.8,4036355
IT,Italy,82.4,59236213
CY,Cyprus,82.3,896007
LV,Latvia,75.7,1893223
LT,Lithuania,75.1,2795680
LU,Luxenbourg,81.8,634730
HU,Hungary,75.7,9730772
MT,Malta,82.6,516100
NL,Netherlands,81.5,17475415
AT,Austria,81.3,8932664
PL,Poland,76.6,37840001
PT,Portugal,81.1,10298252
RO,Romania,74.2,19201662
SI,Slovenia,80.6,2108977
SK,Slovakia,76.9,5459781
FI,Finland,82.2,5533793
SE,Sweden,82.4,10379295